"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Shopping Cart","Search and add multiple items to cart with page objects","0","0","1","0","0"
"","","","0","0","41","0","0"
"","Products catalog","Sally sorts by different criteria","0","0","4","0","0"
"","Products catalog","The one where Sally only wants to see Hand Saws","0","0","1","0","0"
"","Shopping Cart","Search and add to cart without page objects","0","0","1","0","0"
"","Products catalog","The one where Sally only wants to see Power Drills","0","0","1","0","0"
"","Contact form","Interact with mandatory fields 1","0","0","1","0","0"
"","Search products catalog","Search for product with page objects","0","0","1","0","0"
"","Products catalog","The one where Sally searchs for more general term","0","0","4","0","0"
"","Contact form","Interact with text fields","0","0","1","0","0"
"","Shopping Cart","Reset search form and get default products","0","0","1","0","0"
"","Shopping Cart","Search for unknown product name","0","0","1","0","0"
"","Shopping Cart","Search and add to cart with page objects","0","0","1","0","0"
"","Contact form","Interact with mandatory fields 2","0","0","4","0","0"
"","Login and register user","Login with invalid password","0","0","1","0","0"
"","Products catalog","The one where Sally searchs for an pliers","0","0","1","0","0"
"","Login and register user","Login with registered user","0","1","0","0","0"
"","Search products catalog","Search for product without page objects","0","0","1","0","0"
